@relation review_class_seqential

@attribute customer {1026192,284904,320562,774805,674319,558146,559491,585164,124460,223149,609502,107718,122004,108057,107929,1636050,107802,1630591,109742,1416435}
@attribute 'rating' {rating=positive,rating=negative,rating=deceptive_positive}

@data
1630591,rating=positive
1630591,rating=deceptive_positive
1630591,rating=deceptive_positive
559491,rating=positive
559491,rating=positive
108057,rating=positive
108057,rating=negative
1630591,rating=positive
559491,rating=positive
559491,rating=positive
559491,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=deceptive_positive
1630591,rating=positive
1630591,rating=positive
1630591,rating=positive
1630591,rating=positive
559491,rating=positive
559491,rating=negative
559491,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=negative
108057,rating=positive
559491,rating=positive
559491,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=positive
559491,rating=deceptive_positive
559491,rating=positive
559491,rating=deceptive_positive
108057,rating=negative
108057,rating=negative
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=negative
108057,rating=positive
108057,rating=negative
108057,rating=positive
108057,rating=negative
108057,rating=negative
108057,rating=negative
108057,rating=positive
108057,rating=negative
108057,rating=negative
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=positive
108057,rating=deceptive_positive
108057,rating=positive
585164,rating=positive
585164,rating=negative
585164,rating=positive
585164,rating=negative
585164,rating=negative
585164,rating=positive
585164,rating=negative
585164,rating=positive
585164,rating=positive
585164,rating=positive
585164,rating=deceptive_positive
585164,rating=positive
585164,rating=deceptive_positive
585164,rating=negative
585164,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=negative
223149,rating=positive
223149,rating=negative
223149,rating=positive
223149,rating=negative
223149,rating=negative
223149,rating=deceptive_positive
223149,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=negative
223149,rating=negative
223149,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=positive
223149,rating=negative
223149,rating=positive
223149,rating=positive
223149,rating=negative
223149,rating=negative
223149,rating=negative
223149,rating=positive
223149,rating=negative
223149,rating=deceptive_positive
223149,rating=negative
223149,rating=negative
223149,rating=negative
223149,rating=negative
223149,rating=positive
223149,rating=positive
223149,rating=negative
223149,rating=negative
223149,rating=positive
